,discord image,imkg image,score,timestamp,channel
32,https://images-ext-2.discordapp.net/external/WcXrrqXiJiWUlFUXYeeqBsMtwpl-GgXlZCGMjBG69CI/https/i.redd.it/o2zw4y1w0zcb1.jpg,https://i.imgflip.com/3no865.jpg,0.9061829,2023-07-19T19:18:32.894+00:00,TheDungeon
33,https://images-ext-2.discordapp.net/external/wZVriEQQDE7Iu4SrUKjV2Gc-QOMBaLMqhugMy7_BuKg/https/i.redd.it/mqducl5wyvcb1.jpg,https://i.imgflip.com/3f327u.jpg,0.9046892,2023-07-19T08:56:51.042+00:00,TheDungeon
34,https://images-ext-2.discordapp.net/external/lP8XSP7kVAGA6Mw2aC4nBkuTcywoCYRKQX25FGTXsl8/https/i.redd.it/c20plodjtvcb1.jpg,https://i.imgflip.com/431kiz.jpg,0.9363895,2023-07-19T08:26:31.165+00:00,TheDungeon
35,https://images-ext-2.discordapp.net/external/tTxtTvSVh_Zmog9rfZHXd8gQbJuUgXJIE5SuzgDhmwU/https/i.redd.it/4nxfr1s61ucb1.jpg,https://i.imgflip.com/486bie.jpg,0.9433979,2023-07-19T02:25:46.265+00:00,TheDungeon
36,https://images-ext-2.discordapp.net/external/YZS3e2XiRVcvoxovGiP24SfXXS1fJvZMGBXApi70tZo/https/i.redd.it/88ikpceqoscb1.jpg,https://i.imgflip.com/2qkoxm.jpg,0.9129861,2023-07-18T22:01:42.932+00:00,TheDungeon
37,https://images-ext-2.discordapp.net/external/ehJM8y_VN6F2dhNHopjTessUUlEQAOxwkpPIkhLJA_E/https/i.redd.it/exf4m4c9fscb1.jpg,https://i.imgflip.com/100pin.jpg,0.9296959,2023-07-18T21:08:11.62+00:00,TheDungeon
38,https://images-ext-2.discordapp.net/external/QxPiuWaNsULkQYVrWUNPZ-oz2Nbc1dFNIMx2rY6fI2I/https/i.imgflip.com/7sz62m.jpg,https://i.imgflip.com/100pin.jpg,0.92846584,2023-07-18T18:42:26.96+00:00,TheDungeon
39,https://images-ext-1.discordapp.net/external/XNY3kzSZyPbeNeeRlvbwwBpvK_EBhdP2C_hwzXxxgYM/https/i.redd.it/569gir7l3ncb1.jpg,https://i.imgflip.com/339r1l.jpg,0.9161581,2023-07-18T03:06:45.696+00:00,TheDungeon
40,https://images-ext-1.discordapp.net/external/hscGPCCiPVhnPBDKVaf4ACW3R1scm9P7ckBF_MrmJ7E/https/i.redd.it/gm4hzd9g3ncb1.jpg,https://i.imgflip.com/339r1l.jpg,0.9161581,2023-07-18T03:06:01.437+00:00,TheDungeon
41,https://images-ext-1.discordapp.net/external/umwwdBBl8fWP9pkvv2ZUURAmeUUF7Vn-CLuPR8CNC-4/https/i.redd.it/d18i2bzi7mcb1.jpg,https://i.imgflip.com/3lklq9.jpg,0.9043891,2023-07-18T00:13:41.029+00:00,TheDungeon
42,https://images-ext-1.discordapp.net/external/0v2XN1FanncYo7mzBePcKfuHZVcJKi0-pitVpj9vGPQ/https/i.redd.it/hbslpb8uxlcb1.jpg,https://i.imgflip.com/224h1e.jpg,0.9019891,2023-07-17T23:23:10.785+00:00,TheDungeon
43,https://images-ext-2.discordapp.net/external/H74g7auVb8QSDWPIKhiqWCZeUtW_ThXLR0T4sZ_dDA0/https/i.redd.it/ztgu7qppsjcb1.jpg,https://i.imgflip.com/5416ey.jpg,0.9071002,2023-07-17T16:03:11.452+00:00,TheDungeon
44,https://images-ext-1.discordapp.net/external/vgIJsk45QnxFE1xtLXodWmv6wTmKa18th56lur6didc/https/i.redd.it/t96zof7xsecb1.jpg,https://i.imgflip.com/2hafg3.jpg,0.91729975,2023-07-16T23:12:46.969+00:00,TheDungeon
45,https://images-ext-2.discordapp.net/external/E74mkOWET7f5y8xK_q7kwuir8zQTIgfaDuA5MOZwGU4/https/i.redd.it/u0ks1rf5a7cb1.jpg,https://i.imgflip.com/3jcw9m.jpg,0.9079131,2023-07-15T21:55:05.783+00:00,TheDungeon
46,https://images-ext-1.discordapp.net/external/lKIk6Jw5u-wioQZ-b4NLkWhu1fDLBlNdIOQNdbmisXE/https/i.redd.it/pr4pclfaj5cb1.jpg,https://i.imgflip.com/3cxiak.jpg,0.95012987,2023-07-15T16:02:57.594+00:00,TheDungeon
47,https://images-ext-2.discordapp.net/external/SKgjcIXbAN__El-BxhcFhsn7mq3OxZHj4OFSZhzV9Xo/https/i.redd.it/6nt8wspe53cb1.jpg,https://i.imgflip.com/3gsx88.jpg,0.9034858,2023-07-15T08:01:26.085+00:00,TheDungeon
